127.0.0.1 - - [26/Mar/2019:14:12:45 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:46 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/login.jsp HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "POST /20151104697_zhongyangyang_GraduationDesign/Loginservlet HTTP/1.1" 200 16687
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/css/layui.css HTTP/1.1" 200 69524
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img1.jpg HTTP/1.1" 200 12334
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img4.jpg HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img2.jpg HTTP/1.1" 200 16859
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img3.jpg HTTP/1.1" 200 23122
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/xm8.jpg HTTP/1.1" 200 238060
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/css/main.css HTTP/1.1" 200 24912
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/iPhonex.jpg HTTP/1.1" 200 39046
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/jl.jpg HTTP/1.1" 200 23108
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/sxs9.jpg HTTP/1.1" 200 23882
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img5.jpg HTTP/1.1" 200 13738
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/icon_gou.png HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/ipl.jpg HTTP/1.1" 200 7960
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/layui.js HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:55 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hwl.jpg HTTP/1.1" 200 10199
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/opr15.jpg HTTP/1.1" 200 14375
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/xml.jpg HTTP/1.1" 200 11858
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/ip6.jpg HTTP/1.1" 200 36508
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more1.jpg HTTP/1.1" 200 9579
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/vivox21.jpg HTTP/1.1" 200 41596
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hw5g.jpg HTTP/1.1" 200 24308
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hwm.jpg HTTP/1.1" 200 32866
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/font/iconfont.eot?v=240 HTTP/1.1" 200 40844
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:12:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/us-icon.png HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:13:24 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/add.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [26/Mar/2019:14:13:24 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/css/common.css HTTP/1.1" 404 1118
