0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "POST /20151104697_zhongyangyang_GraduationDesign/Loginservlet HTTP/1.1" 200 24519
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/ HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/icon_gou.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/img12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:03:53 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/font/iconfont.eot?v=240 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "POST /20151104697_zhongyangyang_GraduationDesign/Loginservlet HTTP/1.1" 200 24525
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/layui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/ HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/hot9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/icon_gou.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/img12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/s_img11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/more3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:38 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/font/iconfont.eot?v=240 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:39 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/us-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:40 +0800] "GET /commodity.html HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:42 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/ HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:42 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:43 +0800] "GET /buytoday.html HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:45 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/ HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:05:45 +0800] "GET /res/static/js/util/mm.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/buytoday.html HTTP/1.1" 200 29837
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img7.jpg HTTP/1.1" 200 19641
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img5.jpg HTTP/1.1" 200 14655
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img3.jpg HTTP/1.1" 200 28644
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img4.jpg HTTP/1.1" 200 26956
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img1.jpg HTTP/1.1" 200 17967
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img6.jpg HTTP/1.1" 200 22264
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img2.jpg HTTP/1.1" 200 35022
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/js/util/mm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/lay/modules/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:44 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/layui/lay/modules/element.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:06:45 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/tuan_img_banner.jpg HTTP/1.1" 200 99100
