127.0.0.1 - - [27/Mar/2019:20:18:54 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:18:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/add.jsp HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:18:56 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/css/common.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:22:04 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/add.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:22:04 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/css/common.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:02 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/add.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:02 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/css/common.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:14 +0800] "POST /20151104697_zhongyangyang_GraduationDesign/AddStudent?opr=addStu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:14 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/html/commodity.jsp HTTP/1.1" 200 8623
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:14 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/paging_img1.jpg HTTP/1.1" 200 17856
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:15 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/js/util/mm.js HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [27/Mar/2019:20:25:15 +0800] "GET /20151104697_zhongyangyang_GraduationDesign/res/static/img/off-icon.png HTTP/1.1" 200 1091
